Serial No,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex,Ranking
113,Pareen,Boston University,Management Information System,Fall 2018 ,Interested,296,TOEFL,100,67%,41,9
114,sudhir rai,Boston University,Management Information System,Fall 2018 ,Interested,306,IELTS,7,71.98%,48,9
115,Jawaan,Boston University,Management Information System,Fall 2018 ,Interested,297,TOEFL,84,78%,44,9
118,Divij Kishore,Boston University,Management Information System,Spring 2019 ,Interested,290,TOEFL,91,7.3 CGPA ,48,9
120,Harshwaghela,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,312,TOEFL,110,9.09 CGPA ,16,1
122,Triplek,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,311,TOEFL,102,74%,85,1
123,AnushkaKatyayan,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,320,TOEFL,104,65%,60,1
124,muktika,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,307,TOEFL,103,8 CGPA ,34,1
125,Shruti085,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,324,TOEFL,113,78.04%,5,1
126,Rashika510,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,315,ENG TEST,0,80%,0,1
127,frey_b,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,300,TOEFL,103,9 CGPA ,30,1
128,Kherdekar,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,324,TOEFL,110,63.58%,16,1
129,Sai Subhasree,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,319,TOEFL,111,9.6 CGPA ,6,1
130,Adityakh5,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,318,IELTS,7.5,72%,60,1
131,Ash33,Carnegie Mellon University,Information Management and Systems,Fall 2017 ,Applied,325,TOEFL,109,63.65%,17,1
132,DarshG,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,315,TOEFL,101,9.81 CGPA ,0,1
133,brucewayne1996,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,322,TOEFL,116,8.1 CGPA ,6,1
134,Abhi2612,Carnegie Mellon University,Information Management and Systems,Fall 2017 ,Applied,306,TOEFL,93,73%,0,1
135,MayureshRM,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,318,TOEFL,0,73.50%,33,1
136,divsin12,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,296,TOEFL,91,72%,20,1
137,SnehaB,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,312,TOEFL,98,77.80%,31,1
139,supritag,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Applied,321,TOEFL,0,88%,0,1
140,MicroChip,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,308,TOEFL,102,7.48 CGPA ,15,1
141,ratnesh,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,315,TOEFL,108,83.30%,8,1
142,akanksha1811,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,321,TOEFL,109,83%,18,1
143,hrgupta,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,310,TOEFL,107,7.39 CGPA ,14,1
144,Debalinainferno,Carnegie Mellon University,Information Management and Systems,Spring 2018 ,Admit,315,TOEFL,109,85.40%,6,1
145,mihir0412,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,315,TOEFL,110,8.6 CGPA ,3,1
146,Harishb,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,329,TOEFL,0,75%,144,1
147,aknksgha,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,316,IELTS,8,75%,44,1
148,puntuk,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,316,TOEFL,104,8.55 CGPA ,60,1
149,rona2394,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,317,TOEFL,0,8.57 CGPA ,16,1
150,ankit1234,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,317,TOEFL,112,8.72 CGPA ,36,1
151,VIKI090,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,314,TOEFL,108,66.50%,24,1
152,KoSanjana,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,305,TOEFL,109,86%,25,1
153,ankit19910916,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,314,TOEFL,109,77%,38,1
154,Rin0808,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,318,TOEFL,103,90%,27,1
155,thevivekdwivedi,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,320,TOEFL,111,7.98 CGPA ,30,1
157,hproxnrulz,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,314,TOEFL,108,77.10%,22,1
158,hetsheth_15,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,330,TOEFL,116,8.19 CGPA ,0,1
159,SomaguttaMahesh,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Admit,321,TOEFL,106,78%,36,1
161,APPUREDD,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,321,TOEFL,109,81%,18,1
162,Chidvilas ,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,318,IELTS,0,7.38 CGPA ,45,1
163,DeepTalati,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,319,IELTS,7,85.45%,7,1
164,AsadM,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,301,ENG TEST,0,65%,74,1
165,ankurm26,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,322,TOEFL,110,3.1 CGPA ,12,1
166,Aditi00004,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,324,TOEFL,106,7.8 CGPA ,33,1
167,shreyank96,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,325,TOEFL,116,8.48 CGPA ,2,1
169,anadirastogi47,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,315,TOEFL,109,6.72 CGPA ,29,1
170,rajsoni,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,293,TOEFL,101,8.72 CGPA ,20,1
171,Himanshu5393,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,321,TOEFL,108,63.22%,21,1
172,Pavan1996,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,318,TOEFL,109,6.75 CGPA ,13,1
173,ALI52,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,309,TOEFL,0,6.03 CGPA ,28,1
174,RoshniDas,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,314,IELTS,8,77.20%,20,1
175,manish1352,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,330,TOEFL,107,9.23 CGPA ,15,1
176,Rishabhpanwar05,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,329,TOEFL,110,7.4 CGPA ,4,1
177,GauravDharra,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,313,ENG TEST,0,75%,38,1
178,pavankumarp1990,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,317,TOEFL,106,73.40%,82,1
179,sahiltandon,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Reject,320,TOEFL,110,6.2 CGPA ,40,1
182,RishG,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,313,ENG TEST,0,79.80%,134,1
184,reddevils9492CSNinja,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,319,TOEFL,104,75%,36,1
185,shashi284,Carnegie Mellon University,Information Management and Systems,Fall 2016 ,Interested,315,TOEFL,104,8.54 CGPA ,30,1
187,SB93,Carnegie Mellon University,Information Management and Systems,Spring 2018 ,Interested,326,TOEFL,105,5.8 CGPA ,28,1
188,ratnamandava,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,322,ENG TEST,0,6.45 CGPA ,1,1
189,swapswap,Carnegie Mellon University,Information Management and Systems,Fall 2018 ,Interested,323,TOEFL,116,8.38 CGPA ,4,1
190,sowmyan88,Carnegie Mellon University,Information Management and Systems,Spring 2019 ,Interested,310,IELTS,7.5,9.5 CGPA ,24,1
191,hjkkjg,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,318,ENG TEST,0,8 CGPA ,6,1
195,kratikasainferno,Carnegie Mellon University,Information Management and Systems,Spring 2019 ,Interested,306,TOEFL,102,65%,26,1
196,Sujesh,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,321,TOEFL,114,7.58 CGPA ,38,1
197,khushboo397,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,331,ENG TEST,0,7.54 CGPA ,0,1
198,ambitasu1991,Carnegie Mellon University,Information Management and Systems,Spring 2019 ,Interested,322,ENG TEST,0,70%,60,1
199,JashKT,Carnegie Mellon University,Information Management and Systems,Fall 2019 ,Interested,316,ENG TEST,0,9 CGPA ,12,1
201,GauravDharra,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,313,ENG TEST,0,75%,38,1
202,santyssk,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,318,TOEFL,97,8.15 CGPA ,6,1
203,Asmita10,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,312,TOEFL,110,7.62 CGPA ,2,1
204,Varuntan,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,308,TOEFL,98,65%,25,1
205,SukritG,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,313,TOEFL,111,8.5 CGPA ,31,1
206,Pankajnarcisst,Carnegie Mellon University,Information Systems,Fall 2018 ,Applied,321,TOEFL,104,71%,76,1
207,ronakz,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,325,TOEFL,108,7.32 CGPA ,6,1
208,prateekleo28,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,328,TOEFL,112,75%,30,1
209,Js1994,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,316,TOEFL,102,7.99 CGPA ,13,1
210,tarunnan,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,322,TOEFL,105,67%,68,1
211,saura,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,310,TOEFL,103,8.1 CGPA ,1,1
212,shettyprithvi,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,323,TOEFL,99,7.24 CGPA ,2,1
213,blusterfind,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,319,TOEFL,100,71%,54,1
214,rushabhmeht,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,314,TOEFL,104,58%,53,1
215,Anmol1,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,311,TOEFL,104,8.6 CGPA ,2,1
216,Sumit26bansal,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,321,TOEFL,106,7.79 CGPA ,20,1
217,Star21,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,332,TOEFL,112,8.6 CGPA ,15,1
218,NarenSham,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,317,TOEFL,105,6.33 CGPA ,57,1
219,SharathchandraBM,Carnegie Mellon University,Information Systems,Fall 2017 ,Applied,308,TOEFL,100,9.1 CGPA ,21,1
220,rajivgg,Carnegie Mellon University,Information Systems,Fall 2016 ,Applied,311,TOEFL,113,58.05%,36,1
221,manishsombansh ,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,316,TOEFL,102,7.58 CGPA ,42,1
222,anandaltekar,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,320,TOEFL,107,69%,60,1
223,abhimalik96,Carnegie Mellon University,Information Systems,Fall 2020 ,Admit,316,TOEFL,116,8.19 CGPA ,3,1
224,Sonali2810,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,322,TOEFL,110,79.04%,27,1
225,suhailbarot,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,334,TOEFL,117,8.21 CGPA ,0,1
226,DC,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,324,TOEFL,109,7.4 CGPA ,21,1
227,kavya13,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,317,TOEFL,106,8.81 CGPA ,32,1
228,Samra ,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,316,TOEFL,112,8.48 CGPA ,21,1
229,Raghav06,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,317,TOEFL,104,8.3 CGPA ,23,1
230,GreAsp2017,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,323,TOEFL,112,66.21%,27,1
231,MatMat,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,315,TOEFL,105,9.56 CGPA ,19,1
232,mani666,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,314,TOEFL,109,8.6 CGPA ,24,1
234,Adyasha1094,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,318,TOEFL,118,8.43 CGPA ,30,1
235,Anju1234,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,319,TOEFL,113,73.40%,26,1
236,spri,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,326,TOEFL,111,8.48 CGPA ,24,1
237,Hari2095,Carnegie Mellon University,Information Systems,Fall 2018 ,Admit,329,TOEFL,105,9.21 CGPA ,13,1
238,PriyanshiJ,Carnegie Mellon University,Information Systems,Fall 2017 ,Admit,320,TOEFL,105,8.1 CGPA ,24,1
239,vishal403,Carnegie Mellon University,Information Systems,Fall 2015 ,Admit,318,TOEFL,104,9.24 CGPA ,16,1
240,loveenvarghese,Carnegie Mellon University,Information Systems,Fall 2011 ,Admit,324,TOEFL,113,65.50%,0,1
241,vishd29,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,329,TOEFL,113,7.65 CGPA ,40,1
242,NinadB,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,309,TOEFL,101,7.61 CGPA ,9,1
243,Achiever1989,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,314,TOEFL,110,72%,60,1
245,shruti1735,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,320,TOEFL,0,7.54 CGPA ,7,1
246,jd1993,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,322,TOEFL,106,7.29 CGPA ,26,1
247,ManishaSharma2194,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,315,TOEFL,101,8.45 CGPA ,24,1
248,Poseidon,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,321,TOEFL,109,60%,29,1
249,Deva99,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,319,TOEFL,110,8.98 CGPA ,6,1
250,manyam123,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,307,TOEFL,100,8.91 CGPA ,24,1
251,bhavul,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,325,TOEFL,114,7.72 CGPA ,25,1
252,AdityaSathe,Carnegie Mellon University,Information Systems,Fall 2018 ,Reject,321,TOEFL,0,9.45 CGPA ,11,1
254,hunkydk,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,320,TOEFL,104,6.56 CGPA ,19,1
255,patvik,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,311,TOEFL,104,60.43%,0,1
256,yplfc,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,317,TOEFL,110,6.79 CGPA ,1,1
257,PrachiC,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,316,TOEFL,108,71%,13,1
258,Harshil Dhruve,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,308,TOEFL,95,71.43%,25,1
259,akshayadiga,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,313,TOEFL,98,9.2 CGPA ,13,1
260,adi666452,Carnegie Mellon University,Information Systems,Fall 2017 ,Reject,332,TOEFL,112,9.45 CGPA ,4,1
261,Aditikwl,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,314,TOEFL,105,79%,6,1
262,vivekku9944,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,293,TOEFL,82,55%,22,1
263,aviralpushkarna,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,318,ENG TEST,0,7.71 CGPA ,0,1
265,chandu939,Carnegie Mellon University,Information Systems,Spring 2019 ,Interested,314,IELTS,7.5,75.82%,36,1
266,Achus,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,320,IELTS,7,7.2 CGPA ,36,1
267,palandepranav,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,332,TOEFL,110,8.76 CGPA ,8,1
268,Tanya235,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,325,TOEFL,115,6.98 CGPA ,25,1
269,saisruthi95,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,319,TOEFL,109,7.97 CGPA ,24,1
271,snehGajiwala,Carnegie Mellon University,Information Systems,Fall 2019 ,Interested,319,TOEFL,104,9.39 CGPA ,2,1
274,Yasmin,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,317,ENG TEST,0,74%,12,1
276,Kokil57,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,322,TOEFL,110,5.66 CGPA ,6,1
277,Maqutadir,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,321,TOEFL,110,66%,46,1
278,vvr113,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,322,TOEFL,113,8.79 CGPA ,6,1
279,SagarBillore,Carnegie Mellon University,Information Systems,Fall 2018 ,Interested,309,TOEFL,98,65%,0,1
282,Shubhi20,University of Delaware,Management Information System,Fall 2018 ,Applied,309,IELTS,7.5,9.24 CGPA ,40,30
283,vinay0028,University of Delaware,Management Information System,Fall 2016 ,Applied,305,IELTS,7,51%,54,30
284,kanchi ,University of Delaware,Management Information System,Fall 2016 ,Applied,306,TOEFL,94,6.6 CGPA ,0,30
285,malagb01,University of Delaware,Management Information System,Fall 2016 ,Applied,311,IELTS,7.5,69%,48,30
286,ayushivarma,University of Delaware,Management Information System,Fall 2016 ,Applied,300,TOEFL,99,7.46 CGPA ,0,30
287,shikha28,University of Delaware,Management Information System,Fall 2016 ,Applied,304,TOEFL,90,6 CGPA ,30,30
288,exiee,University of Delaware,Management Information System,Fall 2016 ,Applied,304,TOEFL,90,6 CGPA ,30,30
289,ganeshn,University of Delaware,Management Information System,Fall 2017 ,Applied,296,IELTS,6,70.80%,30,30
290,koushika92,University of Delaware,Management Information System,Fall 2016 ,Applied,308,ENG TEST,0,8 CGPA ,30,30
